d,s,noise,rep,seed,notears_edges,exact_edges,greedy_edges,false_positive_removals,true_positive_removals,candidate_max_indegree,greedy_bic_gap,greedy_suboptimal,exact_greedy_jaccard
10,2,gumbel,4,1032147,20,20,20,0,0,6,0.0,False,1.0
10,2,gumbel,5,1032148,21,20,20,1,0,6,0.0,False,1.0
10,2,gumbel,6,1032149,18,18,18,0,0,6,0.0,False,1.0
10,2,gumbel,7,1032150,17,17,17,0,0,4,0.0,False,1.0
10,2,gumbel,8,1032151,16,16,16,0,0,6,0.0,False,1.0
10,2,gumbel,9,1032152,20,20,20,0,0,6,0.0,False,1.0
10,2,gumbel,10,1032153,18,18,18,0,0,4,0.0,False,1.0
10,2,gumbel,11,1032154,17,17,17,0,0,6,0.0,False,1.0
10,2,gumbel,12,1032155,18,17,17,1,0,6,0.0,False,1.0
10,2,gumbel,13,1032156,19,19,19,0,0,4,0.0,False,1.0
10,2,gumbel,14,1032157,20,20,20,0,0,4,0.0,False,1.0
10,2,gumbel,15,1032158,20,20,20,0,0,5,0.0,False,1.0
10,2,gumbel,16,1032159,21,21,21,0,0,5,0.0,False,1.0
10,2,gumbel,17,1032160,17,17,17,0,0,5,0.0,False,1.0
10,2,gumbel,18,1032161,13,13,13,0,0,3,0.0,False,1.0
10,2,gumbel,19,1032162,21,20,20,1,0,5,0.0,False,1.0
10,5,normal,0,1062123,21,18,18,3,0,5,0.0,False,1.0
10,5,normal,1,1062124,16,15,15,0,1,3,0.0,False,1.0
10,5,normal,2,1062125,21,20,20,1,0,3,0.0,False,1.0
10,5,normal,3,1062126,18,17,17,1,0,4,0.0,False,1.0
10,5,normal,4,1062127,16,16,16,0,0,5,0.0,False,1.0
10,5,normal,5,1062128,20,19,19,1,0,4,0.0,False,1.0
10,5,normal,6,1062129,19,18,18,1,0,4,0.0,False,1.0
10,5,normal,7,1062130,27,20,20,7,0,5,0.0,False,1.0
10,5,normal,8,1062131,18,17,17,1,0,7,0.0,False,1.0
10,5,normal,9,1062132,17,17,17,0,0,4,0.0,False,1.0
10,5,normal,10,1062133,20,19,19,1,0,6,0.0,False,1.0
10,5,normal,11,1062134,19,17,17,2,0,5,0.0,False,1.0
10,5,normal,12,1062135,16,15,15,1,0,5,0.0,False,1.0
10,5,normal,13,1062136,16,16,16,0,0,5,0.0,False,1.0
10,5,normal,14,1062137,20,17,17,2,1,4,0.0,False,1.0
