method,setting,rep,seed,d,n,name,true_edges,true_max_indegree,candidate_max_indegree,false_positive_ratio,missing_ratio,reversal_ratio,weak_fraction,error_regime,missing_achieved,reversals_achieved,false_positive_additions_achieved,varsortability,error_scale_ratio,candidate_edges,candidate_max_indegree_achieved,candidate_enumeration_fits,initial_pruning_pressure,candidate_bic,exact_bic,greedy_bic,candidate_to_exact_bic_improvement,greedy_bic_gap,greedy_suboptimal,exact_greedy_jaccard,exact_greedy_disagreement_edges,exact_runtime_seconds,greedy_runtime_seconds,exact_score_evaluations,greedy_score_evaluations,edges,true_positives,false_positives,false_negatives,reversals,fdr,tpr,shd
Exact local BIC,clean_sparse,9,48151632,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9714285714285714,1.0,20,3,52,0.0,303.93838664677895,303.93838664677895,303.93838664677895,0.0,0.0,False,1.0,0,0.008739499957300723,0.010431700036861002,52,40,20,20,0,0,0,0.0,1.0,0
Greedy local BIC,clean_sparse,9,48151632,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9714285714285714,1.0,20,3,52,0.0,303.93838664677895,303.93838664677895,303.93838664677895,0.0,0.0,False,1.0,0,0.008739499957300723,0.010431700036861002,52,40,20,20,0,0,0,0.0,1.0,0
Candidate,clean_sparse,10,48151633,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,1.0,1.0,20,3,51,0.0,193.3885727308107,193.3885727308107,193.3885727308107,0.0,0.0,False,1.0,0,0.008248999947682023,0.01087510003708303,51,40,20,20,0,0,0,0.0,1.0,0
Exact local BIC,clean_sparse,10,48151633,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,1.0,1.0,20,3,51,0.0,193.3885727308107,193.3885727308107,193.3885727308107,0.0,0.0,False,1.0,0,0.008248999947682023,0.01087510003708303,51,40,20,20,0,0,0,0.0,1.0,0
Greedy local BIC,clean_sparse,10,48151633,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,1.0,1.0,20,3,51,0.0,193.3885727308107,193.3885727308107,193.3885727308107,0.0,0.0,False,1.0,0,0.008248999947682023,0.01087510003708303,51,40,20,20,0,0,0,0.0,1.0,0
Candidate,clean_sparse,11,48151634,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9428571428571428,1.0,20,3,52,0.0,175.93933142866283,175.93933142866283,175.93933142866283,0.0,0.0,False,1.0,0,0.008275800035335124,0.010787000064738095,52,40,20,20,0,0,0,0.0,1.0,0
Exact local BIC,clean_sparse,11,48151634,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9428571428571428,1.0,20,3,52,0.0,175.93933142866283,175.93933142866283,175.93933142866283,0.0,0.0,False,1.0,0,0.008275800035335124,0.010787000064738095,52,40,20,20,0,0,0,0.0,1.0,0
Greedy local BIC,clean_sparse,11,48151634,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.9428571428571428,1.0,20,3,52,0.0,175.93933142866283,175.93933142866283,175.93933142866283,0.0,0.0,False,1.0,0,0.008275800035335124,0.010787000064738095,52,40,20,20,0,0,0,0.0,1.0,0
Candidate,clean_sparse,12,48151635,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.8958333333333334,1.0,20,3,57,0.0,30.319817261621463,30.319817261621463,30.319817261621463,0.0,0.0,False,1.0,0,0.009981300099752843,0.010367500013671815,57,40,20,20,0,0,0,0.0,1.0,0
Exact local BIC,clean_sparse,12,48151635,20,500,clean_sparse,20,3,4,0.0,0.0,0.0,0.0,homoskedastic,0,0,0,0.8958333333333334,1.0,20,3,57,0.0,30.319817261621463,30.319817261621463,30.319817261621463,0.0,0.0,False,1.0,0,0.009981300099752843,0.010367500013671815,57,40,20,20,0,0,0,0.0,1.0,0
