abs_r,r,var1,var2
0.1220813537063873,0.1220813537063873,repeats__rate,Sow_Death_rate
0.12208036400104369,0.12208036400104369,number_services,Gestation_days
0.12190325076831537,0.12190325076831537,Stillborn_avg,Sow_Death_rate
0.1213876537856734,0.1213876537856734,productive_days_rate,HeadIn
0.12136187502404111,-0.12136187502404111,nonproductive_days,HeadIn
0.12112439744851428,-0.12112439744851428,wean_to_service,Total_born_avg
0.11974042158623692,-0.11974042158623692,services_per_inventory_N_rate,HeadIn
0.11937536727897156,0.11937536727897156,avg_parity_at_farrow,HeadIn
0.11849805728781868,-0.11849805728781868,services_per_inventory_N_rate,Cull_rate_annual
0.11810889514600474,-0.11810889514600474,Born_alive_avg,Sow_Death_rate
0.11694922887767924,-0.11694922887767924,gilts_bred_rate,Farrowing__rate
0.11661450154801237,-0.11661450154801237,mated_inventory_20wks,abortions_rate
0.11588827240337335,0.11588827240337335,number_services,Farrowing__rate
0.11471618103039877,-0.11471618103039877,number_services,Lactation_days
0.1139181886784975,0.1139181886784975,mated_inventory_20wks,productive_days_rate
0.11388213891090708,-0.11388213891090708,mated_inventory_20wks,nonproductive_days
0.11385437914133249,-0.11385437914133249,services_per_inventory_N_rate,final_inventory
0.11348074168640293,0.11348074168640293,Gestation_days,final_inventory
0.11309598112034583,0.11309598112034583,mated_inventory_20wks,Gestation_days
0.1126566973925259,0.1126566973925259,wean_to_service,Interval_farrows
0.11093832210260626,-0.11093832210260626,Litters_female_year,avg_parity_at_farrow
0.11090227001965872,-0.11090227001965872,mated_inventory_20wks,mortality_60days
0.11000461450057124,0.11000461450057124,Farrowing__rate,HeadIn
0.10993271849372184,0.10993271849372184,Avg_parity_farrow,productive_days_rate
0.10992335152713435,-0.10992335152713435,Avg_parity_farrow,nonproductive_days
0.109818352141171,0.109818352141171,Last_week_wean_bred_rate,pregnant_105days_rate
0.10944287109147903,-0.10944287109147903,pregnant_105days_rate,Sow_Death_rate
0.10901610263290942,-0.10901610263290942,mated_inventory_20wks,repeats__rate
0.10870553204678682,-0.10870553204678682,PWSow,mortality_60days
0.1066651347998609,-0.1066651347998609,final_inventory,mortality_60days
0.10622124749467225,-0.10622124749467225,prenatal_losses_avg,PWSow
0.1061806959645968,0.1061806959645968,Mummies_avg,services_per_inventory_N_rate
0.10584198694033516,0.10584198694033516,Lactation_days,mortality_60days
0.10541607827867368,0.10541607827867368,Gestation_days,avg_parity_at_farrow
0.10274519325445426,-0.10274519325445426,gilts_bred_rate,Sow_Death_rate
0.10249691157787764,0.10249691157787764,productive_days_rate,final_inventory
0.10244806558972053,-0.10244806558972053,nonproductive_days,final_inventory
0.10227693878541075,0.10227693878541075,Sow_Death_rate,mortality_60days
